TX-000000;167-362266;Lucía Vargas;Transferencia;1125.24;2026-06-11;17:49:56;Aprobada
TX-000001;884-378457;María Soto;Retiro;1354.33;2026-06-07;04:01:08;Rechazada
TX-000002;430-420806;Diego Salas;PagoServicio;587.49;2026-06-16;18:33:10;Aprobada
TX-000003;319-679029;Ana Torres;Depósito;410.91;2026-06-29;00:30:21;Rechazada
TX-000004;032-311295;Elena Castro;Retiro;747.38;2026-06-28;16:51:07;Aprobada
TX-000005;079-930806;Marco Ruiz;Retiro;1758.89;2026-06-15;02:23:48;Anulada
TX-000006;822-803753;Elena Castro;PagoServicio;1259.1;2026-06-21;02:57:09;Observada
TX-000007;053-399110;Ana Torres;Depósito;1113.58;2026-06-13;23:41:40;Rechazada
TX-000008;252-636435;Pedro Rojas;PagoServicio;1769.82;2026-06-24;14:15:19;Rechazada
TX-000009;610-181237;Sofía Medina;Depósito;1999.95;2026-06-30;22:38:13;Observada
TX-000010;861-876825;Sofía Medina;Retiro;1353.42;2026-06-22;23:48:58;Pendiente
TX-000011;513-065300;Pedro Rojas;Transferencia;884.49;2026-06-30;16:10:34;Observada
TX-000012;834-783178;Carlos Pérez;Transferencia;610.59;2026-06-15;12:13:03;Observada
TX-000013;882-838937;Diego Salas;PagoServicio;825.58;2026-06-11;23:29:53;Pendiente
TX-000014;998-510529;Lucía Vargas;PagoServicio;1137.69;2026-06-27;10:59:51;Anulada
TX-000015;915-399776;Ana Torres;Retiro;1856.38;2026-06-27;07:47:00;Aprobada
TX-000016;442-800817;Carlos Pérez;Depósito;853.46;2026-06-26;14:14:54;Pendiente
TX-000017;219-544740;Pedro Rojas;PagoServicio;247.16;2026-06-05;18:35:03;Pendiente
TX-000018;180-538112;Marco Ruiz;Retiro;676.57;2026-06-30;04:48:04;Anulada
TX-000019;174-487662;Carlos Pérez;Retiro;1227.45;2026-06-28;00:42:20;Aprobada
TX-000020;105-803386;Diego Salas;Transferencia;1222.69;2026-06-20;21:03:10;Rechazada
TX-000021;217-448710;María Soto;PagoServicio;519.24;2026-06-19;12:09:38;Observada
TX-000022;399-274650;Elena Castro;PagoServicio;1683.18;2026-06-10;08:33:03;Anulada
TX-000023;747-952203;Elena Castro;Depósito;1494.02;2026-06-12;21:48:33;Rechazada
TX-000024;478-303215;Pedro Rojas;Retiro;1762.87;2026-06-23;16:33:22;Observada
TX-000025;820-609543;María Soto;Depósito;1028.68;2026-06-22;01:29:44;Observada
TX-000026;601-197145;Carlos Pérez;Depósito;1314.84;2026-06-08;04:11:20;Anulada
TX-000027;872-558685;Carlos Pérez;Transferencia;52.45;2026-06-07;05:02:19;Aprobada
TX-000028;820-096938;Diego Salas;Transferencia;1945.17;2026-06-19;08:08:47;Aprobada
TX-000029;337-141062;Carlos Pérez;Transferencia;1901.6;2026-06-13;15:52:26;Pendiente
TX-000030;241-022919;Elena Castro;Transferencia;655.08;2026-06-07;05:36:48;Observada
TX-000031;664-926201;Marco Ruiz;Transferencia;1999.17;2026-06-21;10:28:59;Observada
TX-000032;285-449377;Carlos Pérez;PagoServicio;1731.94;2026-06-22;20:23:20;Rechazada
TX-000033;693-228006;Marco Ruiz;PagoServicio;475.22;2026-06-12;16:25:16;Observada
TX-000034;095-580165;Lucía Vargas;Transferencia;1389.64;2026-06-25;19:45:21;Observada
TX-000035;887-487719;Sofía Medina;Retiro;843.31;2026-06-04;01:47:51;Aprobada
TX-000036;574-908868;Carlos Pérez;Depósito;225.74;2026-06-05;07:36:15;Rechazada
TX-000037;274-482680;Elena Castro;PagoServicio;1806.02;2026-06-05;03:18:24;Rechazada
TX-000038;298-039612;Marco Ruiz;PagoServicio;1092.95;2026-06-15;05:34:43;Observada
TX-000039;864-115889;Marco Ruiz;Transferencia;268.67;2026-06-25;00:36:28;Observada
TX-000040;931-910644;Luis Ramos;Transferencia;42.59;2026-06-13;08:51:43;Anulada
TX-000041;335-791212;Sofía Medina;PagoServicio;1928.65;2026-06-04;03:01:16;Aprobada
TX-000042;620-015353;Diego Salas;Depósito;1789.55;2026-06-17;21:36:18;Aprobada
TX-000043;349-387475;Diego Salas;PagoServicio;1020.07;2026-06-27;02:27:19;Observada
TX-000044;169-934441;Carlos Pérez;Retiro;269.47;2026-06-20;13:36:15;Aprobada
TX-000045;398-936544;Sofía Medina;PagoServicio;187.64;2026-06-02;10:06:06;Rechazada
TX-000046;086-905640;Carlos Pérez;Transferencia;975.14;2026-06-15;03:06:58;Rechazada
TX-000047;423-899105;Pedro Rojas;Depósito;503.31;2026-06-11;16:40:13;Anulada
TX-000048;301-345207;Pedro Rojas;Transferencia;74.59;2026-06-03;22:07:03;Aprobada
TX-000049;085-634891;Luis Ramos;Transferencia;92.78;2026-06-23;05:37:11;Anulada
TX-000050;957-485812;Ana Torres;Transferencia;1311.85;2026-06-27;20:51:48;Pendiente
